,name,start
1176,Чемпионат Полтавской области,2000-08-20 00:00:00
1113,Открытый кубок Ступино,2000-08-26 00:00:00
1030,Братская могила,2000-09-02 00:00:00
1404,Чемпионат Херсона,2000-09-16 00:00:00
1029,Открытый чемпионат Климовска,2000-09-17 00:00:00
1071,Турнир в Мёнхельгладбахе,2000-09-24 00:00:00
1244,Турнир команды Динамит,2000-10-01 00:00:00
1044,Открытый чемпионат Украины,2000-10-06 00:00:00
1085,Интеллектуальный прорыв в XXI век,2000-10-14 00:00:00
1106,Кубок Губернатора,2000-10-16 00:00:00
1080,Чемпионат Республики Татарстан,2000-10-21 00:00:00
1031,Нестерка,2000-10-27 00:00:00
1045,Открытый кубок Мордовии,2000-10-28 00:00:00
1032,Буковинская осень,2000-11-03 00:00:00
1132,Гостиный двор,2000-11-06 00:00:00
1033,Открытый чемпионат Самары,2000-11-11 00:00:00
1037,Кубок Тель-Авива,2000-11-18 00:00:00
1039,Кубок Физтеха. Взрослый отбор,2000-11-18 00:00:00
2080,Кубок Физтеха. Финал,2000-11-19 00:00:00
1038,Кубок Киборга,2000-11-17 00:00:00
1235,Беловежская зима,2000-11-26 00:00:00
1072,Золотая осень в Дортмунде,2000-11-29 00:00:00
1049,Открытый кубок России,2000-12-03 00:00:00
1073,Турнир в Дармштадте,2000-12-04 00:00:00
1040,Симбирск Опен,2000-12-10 00:00:00
1041,Чемпионат Ивантеевки,2000-12-22 00:00:00
2418,Чемпионат Саратова,2000-12-23 00:00:00
1087,Чемпионат Туркменистана,2000-11-19 00:00:00
1057,Чемпионат Тель-Авива,2000-01-19 00:00:00
1058,Чемпионат Хайфы,2000-01-22 00:00:00
1075,Кубок Хайфы,2001-01-06 00:00:00
1076,Открытый чемпионат Курска,2001-01-06 00:00:00
1078,Открытый чемпионат Татарстана,2001-01-20 00:00:00
1100,Январская Ялта,2001-01-26 00:00:00
1089,Кубок Дружбы,2001-01-28 00:00:00
1082,Чемпионат России,2001-02-03 00:00:00
1088,Чемпионат Беларуси,2001-02-10 00:00:00
1101,Жаркая зима,2001-02-24 00:00:00
1230,Кубок Губернатора,2001-02-24 00:00:00
1124,Открытый студенческий чемпионат КГМУ,2001-03-01 00:00:00
1096,Кубок Херсона,2001-03-05 00:00:00
1097,КРИТериум,2001-03-16 00:00:00
1098,Открытый чемпионат Долгопрудного,2001-03-21 00:00:00
1102,Мартовский лев,2001-03-24 00:00:00
1155,Чемпионат Санкт-Петербурга. Высшая лига,2001-01-28 00:00:00
1156,Чемпионат Санкт-Петербурга. Первая лига,2001-01-28 00:00:00
1109,Кубок городов,2001-04-01 00:00:00
1168,Кубок Харьковской Лиги,2001-04-01 00:00:00
1149,Чемпионат Харькова. Вторая лига,2000-10-23 00:00:00
1123,Чемпионат КГПУ,2001-04-06 00:00:00
1105,Каменный цветок,2001-04-07 00:00:00
1114,Кубок княгини Ольги,2001-04-06 00:00:00
1118,Буффало - Бостон - Торонто,2001-04-08 00:00:00
3011,Кубок губернатора СПб. Отбор иногородних команд,2001-04-13 00:00:00
1128,Поволжская лига,2000-12-17 00:00:00
1148,Чемпионат Харькова. Первая лига,2000-10-09 00:00:00
1108,Оселедец,2001-04-17 00:00:00
1111,Чемпионат Новосибирска,2000-10-01 00:00:00
4979,Студенческий чемпионат России,2001-04-22 10:00:00
1158,Урало-Сибирская лига,2001-02-17 00:00:00
1110,Чемпионат Мордовии,2000-10-03 00:00:00
1117,Одессея,2001-04-29 00:00:00
1122,МИКС,2001-04-29 00:00:00
1116,Чемпионат Москвы. Первая лига,2000-10-01 00:00:00
1121,На муромской дорожке,2001-05-05 00:00:00
1127,Кубок Полесья,2001-05-04 00:00:00
1120,Чемпионат Москвы. Вторая лига. Дивизион Open,2001-03-10 00:00:00
3012,Кубок Антарктиды,2001-05-14 00:00:00
1221,Чемпионат Минска,2000-10-05 00:00:00
1150,Чемпионат Израиля,2001-05-19 00:00:00
1086,Синхронный турнир ЛУК,2000-12-23 00:00:00
1135,"Чемпионат клуба ""От Винта!""",2000-10-01 00:00:00
1147,Чемпионат Харькова. Высшая лига,2000-11-12 00:00:00
1163,Чемпионат Киева,2000-10-28 00:00:00
1201,Чемпионат Даугавпилса,2000-09-24 00:00:00
1126,Чемпионат Москвы. Вторая лига. Дивизион МГУ,2000-10-01 00:00:00
1189,Гран-при МГУ,2000-10-01 00:00:00
1199,Чемпионат Грузии,2001-05-25 00:00:00
1206,Чемпионат Витебска,2000-10-01 00:00:00
1152,Чемпионат Одессы. Высшая лига,2000-09-01 00:00:00
1154,Чемпионат Одессы. Первая лига,2000-09-01 00:00:00
1162,Чемпионат Ростова-на-Дону,2000-09-01 00:00:00
1129,Чемпионат СНГ,2001-06-01 00:00:00
1130,Золотой скиф,2001-06-01 00:00:00
1138,Открытый чемпионат Лос-Анджелеса,2001-06-02 00:00:00
1157,Золотой Скиф - online,2001-06-01 00:00:00
1131,Чемпионат Москвы. Высшая лига,2001-06-10 00:00:00
1213,Чемпионат Баку. Высшая лига,2000-10-01 00:00:00
1214,Чемпионат Баку. Первая лига,2000-10-01 00:00:00
1151,Кубок Киборга,2001-06-17 00:00:00
1173,Остров сокровищ,2001-06-30 00:00:00
1159,Белые ночи,2001-07-08 00:00:00
1160,Открытый чемпионат Татарстана,2001-07-14 00:00:00
1164,Чемпионат Южного Кавказа,2001-07-13 00:00:00
1183,Летние зори. Пролог,2001-08-07 00:00:00
1184,Летние зори. Кубок Ворона,2001-08-09 00:00:00
1185,Летние зори. Гала-турнир,2001-08-11 00:00:00
